mod,category,status,version,filename,local_path,sha1,size_bytes,modrinth_slug,source
JEI,client-server,DOWNLOADED_VERIFIED,30.32.0.212,jei-26.2-neoforge-30.32.0.212.jar,client-server/jei-26.2-neoforge-30.32.0.212.jar,dea44e823dfd52c0926590e70d3c3331fce1dbf8,1909432,jei,modrinth
Better Combat,client-server,DOWNLOADED_VERIFIED,3.2.2+26.2-neoforge,bettercombat-neoforge-3.2.2+26.2.jar,client-server/bettercombat-neoforge-3.2.2+26.2.jar,ebe34e007a8308a0bf13332e8e75492012db965a,1043303,better-combat,modrinth
Visual Workbench,client-server,DOWNLOADED_VERIFIED,26.2.1,VisualWorkbench-v26.2.1-mc26.2.x-NeoForge.jar,client-server/VisualWorkbench-v26.2.1-mc26.2.x-NeoForge.jar,d8a192deeb8d10d02f69c5c878cfc0c94ae8170c,67090,visual-workbench,modrinth
AppleSkin,client-server,DOWNLOADED_VERIFIED,3.0.10+mc26.2,appleskin-neoforge-mc26.2-3.0.10.jar,client-server/appleskin-neoforge-mc26.2-3.0.10.jar,f483838d9207591d0d38b12ef1f7a5af4936f79f,80690,appleskin,modrinth
Sound Physics Remastered,client-server,DOWNLOADED_VERIFIED,neoforge-1.5.1+26.2,sound-physics-remastered-neoforge-1.5.1+26.2.jar,client-server/sound-physics-remastered-neoforge-1.5.1+26.2.jar,a3046afe79b7ce67702d9e2f4baf36abf5989b80,201519,sound-physics-remastered,modrinth
Mutant Monsters,client-server,DOWNLOADED_VERIFIED,26.2.2,MutantMonsters-v26.2.2-mc26.2.x-NeoForge.jar,client-server/MutantMonsters-v26.2.2-mc26.2.x-NeoForge.jar,e81bc2a65454ca278866292decab795d513f6164,1367886,mutant-monsters,modrinth
Advanced Hook Launchers,client-server,DOWNLOADED_VERIFIED,26.2.0.0,adhooks-26.2.0.0-neoforge-build.0066.jar,client-server/adhooks-26.2.0.0-neoforge-build.0066.jar,cec3ecda9f92163e7f3ac687e19ed842aef49da0,135748,advanced-hook-launchers,modrinth
Clumps,client-server,DOWNLOADED_VERIFIED,26.2.1,Clumps-neoforge-26.2-26.2.1.jar,client-server/Clumps-neoforge-26.2-26.2.1.jar,afb2dff9ca5a0415606b0cae92c8ca04b2c9bf80,18765,clumps,modrinth
Day Counter,client-server,DOWNLOADED_VERIFIED,4+mod,daycounter-4.jar,client-server/daycounter-4.jar,fceef2cee22032c8ec6b0bcde8cadbb6072fb97b,4581,daycounter,modrinth
Jade,client-server,DOWNLOADED_VERIFIED,26.2.10+neoforge,Jade-mc26.2-NeoForge-26.2.10.jar,client-server/Jade-mc26.2-NeoForge-26.2.10.jar,f6fae12c64971931e1fae5b19a1b151c64b3510e,1016197,jade,modrinth
Corpse,client-server,DOWNLOADED_VERIFIED,neoforge-1.1.19+26.2,corpse-neoforge-1.1.19+26.2.jar,client-server/corpse-neoforge-1.1.19+26.2.jar,48619d1de1db3ec6ea36cac8d13218cc2c816304,252306,corpse,modrinth
Guard Villagers,client-server,DOWNLOADED_VERIFIED,4.0.4,guardvillagers-4.0.4-26.2.0.jar,client-server/guardvillagers-4.0.4-26.2.0.jar,f7d1105bb5d74ba82b7a392c158b5ed74da99cf1,294012,guard-villagers,modrinth
Dungeons & Taverns,client-server,DOWNLOADED_VERIFIED,5.3.2+mod,dungeons-and-taverns-5.3.2.jar,client-server/dungeons-and-taverns-5.3.2.jar,40842829d42249bfdd6e2c8c577d1fc0ad07837a,39643225,dungeons-and-taverns,modrinth
Waystones,client-server,DOWNLOADED_VERIFIED,26.2.0.12+neoforge-26.2,waystones-neoforge-26.2-26.2.0.12.jar,client-server/waystones-neoforge-26.2-26.2.0.12.jar,2c803cf4d83aecf55a5ee32feede22e98f40009f,1188949,waystones,modrinth
Mob Lootbags,client-server,DOWNLOADED_VERIFIED,1.11.2+neoforge-26.2,mob_loot_bags-neoforge-26.2-1.11.2.jar,client-server/mob_loot_bags-neoforge-26.2-1.11.2.jar,3751718ea59dddf95492a9a8bfb3444d7331ab1c,888675,mob-loot-bags,modrinth
Explorations,client-server,DOWNLOADED_VERIFIED,26.2-1.6.4-NeoForge,explorations-neoforge-26.2-1.6.4.jar,client-server/explorations-neoforge-26.2-1.6.4.jar,64579d2291d8f0e1ef7e2b7d6d7da9b07e31eb7a,219465,explorations,modrinth
Structory,client-server,DOWNLOADED_VERIFIED,1.3.17,Structory_26.2_v1.3.7.jar,client-server/Structory_26.2_v1.3.7.jar,8a9a1a1b3f74398310420b6fbe2c26ef142bed42,1261346,structory,modrinth
Arsenal (RPG Series),client-server,DOWNLOADED_VERIFIED,1.5.1+26.2-neoforge,arsenal-neoforge-1.5.1+26.2.jar,client-server/arsenal-neoforge-1.5.1+26.2.jar,d926c7f47477199c7ad06e718b55731ee9bc6f80,1197320,arsenal-rpg-series,modrinth
Archers (RPG Series),client-server,DOWNLOADED_VERIFIED,3.1.2+26.2-neoforge,archers-neoforge-3.1.2+26.2.jar,client-server/archers-neoforge-3.1.2+26.2.jar,19d868dbe9e94429850f2723da45e26cf0e8c151,945773,archers,modrinth
Paladins & Priests (RPG Series),client-server,DOWNLOADED_VERIFIED,3.1.2+26.2-neoforge,paladins-neoforge-3.1.2+26.2.jar,client-server/paladins-neoforge-3.1.2+26.2.jar,b9ce14889537bcc6504744d0b0de0896eb34f8f3,3105819,paladins-and-priests,modrinth
Rogues & Warriors (RPG Series),client-server,DOWNLOADED_VERIFIED,3.1.2+26.2-neoforge,rogues-neoforge-3.1.2+26.2.jar,client-server/rogues-neoforge-3.1.2+26.2.jar,9cf4b6db404671fe7bf352f95096998353ab839a,1778946,rogues-and-warriors,modrinth
Wizards (RPG Series),client-server,DOWNLOADED_VERIFIED,3.1.2+26.2-neoforge,wizards-neoforge-3.1.2+26.2.jar,client-server/wizards-neoforge-3.1.2+26.2.jar,f141a7fee93364c06dcf70ac770b29dced14bbc3,4539289,wizards,modrinth
Armory (RPG Series),client-server,DOWNLOADED_VERIFIED,1.5.2+26.2-neoforge,armory-neoforge-1.5.2+26.2.jar,client-server/armory-neoforge-1.5.2+26.2.jar,025a64652effe4b222b252aaed6c1a40f08ac072,648301,armory-rpg-series,modrinth
Jewelry (RPG Series),client-server,DOWNLOADED_VERIFIED,2.4.1+26.2-neoforge,jewelry-neoforge-2.4.1+26.2.jar,client-server/jewelry-neoforge-2.4.1+26.2.jar,3c1a6ebc1df57d973713203eb6c590b38507c2ab,527926,jewelry,modrinth
Skill Tree (RPG Series),client-server,DOWNLOADED_VERIFIED,1.6.1+26.2-neoforge,skill_tree-neoforge-1.6.1+26.2.jar,client-server/skill_tree-neoforge-1.6.1+26.2.jar,a4c9a923ac51740e617a1f44fd2dd9e51186cc2e,2961985,skill-tree,modrinth
Relics (RPG Series),client-server,DOWNLOADED_VERIFIED,1.4.1+26.2-neoforge,relics-neoforge-1.4.1+26.2.jar,client-server/relics-neoforge-1.4.1+26.2.jar,b68150b1846466879611444e4486996d40e0ef19,2196069,relics-rpg,modrinth
Spell Engine,dependencies,DOWNLOADED_VERIFIED,1.10.5+26.2-neoforge,spell_engine-neoforge-1.10.5+26.2.jar,dependencies/spell_engine-neoforge-1.10.5+26.2.jar,8df89a9202cadc71d9cf78425e9054399564b424,4638324,spell-engine,modrinth
Runes,dependencies,DOWNLOADED_VERIFIED,1.3.2+26.2-neoforge,runes-neoforge-1.3.2+26.2.jar,dependencies/runes-neoforge-1.3.2+26.2.jar,c7d68803a564591db177415054c4d0b8e5ac1d05,389095,runes,modrinth
Armor Model API,dependencies,DOWNLOADED_VERIFIED,1.1.0+26.2-neoforge,armor_model_api-neoforge-1.1.0+26.2.jar,dependencies/armor_model_api-neoforge-1.1.0+26.2.jar,69a37cc54c764c59c2f2c2e01af792e8f99874ea,94407,armor-model-api,modrinth
Ranged Weapon API,dependencies,DOWNLOADED_VERIFIED,4.0.0+26.2-neoforge,ranged_weapon_api-neoforge-4.0.0+26.2.jar,dependencies/ranged_weapon_api-neoforge-4.0.0+26.2.jar,432201d8930d1d79d7353a48ea92c4f02329576c,159888,ranged-weapon-api,modrinth
Spell Power Attributes,dependencies,DOWNLOADED_VERIFIED,1.6.2+26.2-neoforge,spell_power-neoforge-1.6.2+26.2.jar,dependencies/spell_power-neoforge-1.6.2+26.2.jar,d37f64c06c4a691683977b5844f8e3f9897cfaa7,221717,spell-power,modrinth
Structure Pool API,dependencies,DOWNLOADED_VERIFIED,1.3.0+26.2-neoforge,structure_pool_api-neoforge-1.3.0+26.2.jar,dependencies/structure_pool_api-neoforge-1.3.0+26.2.jar,bffc020f986e18c3c08af4edbb014999193da276,126655,structure-pool-api,modrinth
AzureLib Armor,dependencies,NO_NEOFORGE_26.2_BUILD,,,,,,azurelib-armor,modrinth
Critical Strike,dependencies,DOWNLOADED_VERIFIED,1.0.6+26.2-neoforge,critical_strike-neoforge-1.0.6+26.2.jar,dependencies/critical_strike-neoforge-1.0.6+26.2.jar,763b7d9e6af7a9d91fed5436ab8b30a369506a10,132314,critical-strike,modrinth
Pufferfish's Skills,dependencies,DOWNLOADED_VERIFIED,0.19.0,puffish_skills-0.19.0-26.2-neoforge.jar,dependencies/puffish_skills-0.19.0-26.2-neoforge.jar,0dfefe95036506d181a35ac488d3c432fbde381f,638640,skills,modrinth
Bundle API,dependencies,DOWNLOADED_VERIFIED,4.0.0+26.2-neoforge,bundle-api-neoforge-4.0.0+26.2.jar,dependencies/bundle-api-neoforge-4.0.0+26.2.jar,b862cfd46b9d091d431ba7d88199058b8e958c6f,110066,bundle-api,modrinth
Curios API,dependencies,DOWNLOADED_VERIFIED,16.0.0+26.2,curios-neoforge-16.0.0+26.2.jar,dependencies/curios-neoforge-16.0.0+26.2.jar,fc8b4596dbeca2a9f516eeb632d8a5ad039e540a,441696,curios,modrinth
Accessories,dependencies,NO_NEOFORGE_26.2_BUILD,,,,,,accessories,modrinth
Player Animation Library,dependencies,DOWNLOADED_VERIFIED,1.2.6,PlayerAnimationLibMerged-1.2.6+mc.26.2.jar,dependencies/PlayerAnimationLibMerged-1.2.6+mc.26.2.jar,55d06e255b162cb648671bbe0cb4dd0961188269,419757,player-animation-library,modrinth
Cloth Config API,dependencies,DOWNLOADED_VERIFIED,26.2.155+neoforge,cloth-config-26.2.155.jar,dependencies/cloth-config-26.2.155.jar,6ea13f34b0fcdcc9299b766efa199dcc7cb73878,1135847,cloth-config,modrinth
Puzzles Lib,dependencies,DOWNLOADED_VERIFIED,26.2.3,PuzzlesLib-v26.2.3-mc26.2.x-NeoForge.jar,dependencies/PuzzlesLib-v26.2.3-mc26.2.x-NeoForge.jar,b3eaf4be27b9ace296084cdd3c5b9313bf66826e,1072529,puzzles-lib,modrinth
Forge Config API Port,dependencies,DOWNLOADED_VERIFIED,26.2.1,ForgeConfigAPIPort-v26.2.1-mc26.2.x-NeoForge.jar,dependencies/ForgeConfigAPIPort-v26.2.1-mc26.2.x-NeoForge.jar,92ef27f21cb440c42a854093e411de603bb820a8,80638,forge-config-api-port,modrinth
BaguetteLib,dependencies,DOWNLOADED_VERIFIED,2.0.5,baguettelib-26.2-NeoForge-2.0.5.jar,dependencies/baguettelib-26.2-NeoForge-2.0.5.jar,86c689de777944df76ed25bf91ad0c77f5dcc482,108132,baguettelib,modrinth
Almanac Lib,dependencies,DOWNLOADED_VERIFIED,1.26.9.1,almanac-neoforge-26.2-1.26.9.1.jar,dependencies/almanac-neoforge-26.2-1.26.9.1.jar,7960a5a4fcc951ed9890deb7b543af03d4e6813e,34836,almanac,modrinth
ForgeEndertech,dependencies,DOWNLOADED_VERIFIED,26.2.0.2,forgeendertech-26.2.0.2-neoforge-build.0168.jar,dependencies/forgeendertech-26.2.0.2-neoforge-build.0168.jar,4900ec3da3996474ca7dd38895801c9bd90c4fd9,594098,forgeendertech,modrinth
Jauml,dependencies,DOWNLOADED_VERIFIED,2.3.0+neoforge-26.2,jauml-neoforge-26.2-2.3.0.jar,dependencies/jauml-neoforge-26.2-2.3.0.jar,03cae75e34734c1ba6e10adacc7acfa8aa4545df,46316,jauml,modrinth
Balm,dependencies,DOWNLOADED_VERIFIED,26.2.0.8+neoforge-26.2,balm-neoforge-26.2-26.2.0.8.jar,dependencies/balm-neoforge-26.2-26.2.0.8.jar,51b0f2839e1fb3ac118e19bb4914229b75f55c78,1177422,balm,modrinth
Eating Animation Fork,client-only,MANUAL_DOWNLOAD_REQUIRED_CURSEFORGE,NeoForge-26.2+4.0.0,(download manually),,,,,curseforge.com/minecraft/mc-mods/eating-animation-fork
CreativeCore,dependencies,DOWNLOADED_VERIFIED,2.14.16,CreativeCore_NEOFORGE_v2.14.16_mc26.2.jar,dependencies/CreativeCore_NEOFORGE_v2.14.16_mc26.2.jar,,,creativecore,modrinth
Shogi,dependencies,DOWNLOADED_VERIFIED,26.2.0.5+neoforge-26.2,shogi-neoforge-26.2-26.2.0.5.jar,dependencies/shogi-neoforge-26.2-26.2.0.5.jar,,,shogi,modrinth
Sophisticated Core,dependencies,DOWNLOADED_VERIFIED,26.2-1.5.0.2337,sophisticatedcore-26.2-1.5.0.2337.jar,dependencies/sophisticatedcore-26.2-1.5.0.2337.jar,971b2b22a7417639bd5ef2d10c3f91da3110c5a0,1834409,sophisticated-core,modrinth
Sophisticated Backpacks,client-server,DOWNLOADED_VERIFIED,26.2-3.26.2.2154,sophisticatedbackpacks-26.2-3.26.2.2154.jar,client-server/sophisticatedbackpacks-26.2-3.26.2.2154.jar,5b9faaace66ce8ff3ba8cc8d2bf2200fce3e9eed,1264857,sophisticated-backpacks,modrinth
